Year,Faculty,Rank,Total,Frauen_%,Auslaendische_%
2017,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,63.0,58.7,42.9
2017,Philosophische Fakultät,Professuren,173.0,39.9,58.4
2017,Philosophische Fakultät,Titularprofessuren,95.0,33.7,10.5
2017,Philosophische Fakultät,Privatdozierende,100.0,40.0,41.0
2017,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,762.0,55.9,43.8
2017,Mathematisch-naturwissenschaftliche Fakultät,Professuren,115.0,13.9,61.7
2017,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,53.0,9.4,18.9
2017,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,82.0,20.7,52.4
2017,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,324.0,35.2,53.4
2017,Zentrale Dienste der Universität,Professuren,,,
2017,Zentrale Dienste der Universität,Titularprofessuren,,,
2017,Zentrale Dienste der Universität,Privatdozierende,,,
2017,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,43.0,74.4,30.2
2017,Gesamt Universität,Professuren,675.0,23.3,56.0
2017,Gesamt Universität,Titularprofessuren,595.0,18.2,17.6
2017,Gesamt Universität,Privatdozierende,776.0,26.5,40.1
2017,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,42.5,39.1,
2016,Theologische Fakultät,Professuren,15.0,20.0,46.7
2016,Theologische Fakultät,Titularprofessuren,8.0,12.5,25.0
2016,Theologische Fakultät,Privatdozierende,14.0,14.3,57.1
2016,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,37.0,43.2,37.8
2016,Rechtswissenschaftliche Fakultät,Professuren,51.0,29.4,31.4
2016,Rechtswissenschaftliche Fakultät,Titularprofessuren,32.0,12.5,3.1
2016,Rechtswissenschaftliche Fakultät,Privatdozierende,27.0,33.3,25.9
2016,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,80.0,28.8,25.0
2016,Wirtschaftswissenschaftliche Fakultät,Professuren,80.0,13.8,77.5
2016,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2016,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,29.0,27.6,41.4
2016,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,167.0,21.0,47.3
2016,Medizinische Fakultät,Professuren,190.0,14.2,50.0
2016,Medizinische Fakultät,Titularprofessuren,344.0,16.6,18.9
2016,Medizinische Fakultät,Privatdozierende,476.0,21.2,37.4
2016,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,35.4,32.5,
2016,Vetsuisse Fakultät,Professuren,39.0,28.2,41.0
2016,Vetsuisse Fakultät,Titularprofessuren,20.0,20.0,40.0
2016,Vetsuisse Fakultät,Privatdozierende,30.0,36.7,43.3
2016,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,65.0,58.5,46.2
2016,Philosophische Fakultät,Professuren,169.0,38.5,59.8
2016,Philosophische Fakultät,Titularprofessuren,86.0,32.6,9.3
2016,Philosophische Fakultät,Privatdozierende,101.0,39.6,36.6
2016,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,786.0,53.3,45.8
2016,Mathematisch-naturwissenschaftliche Fakultät,Professuren,117.0,13.7,60.7
2016,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,45.0,8.9,15.6
2016,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,74.0,18.9,54.1
2016,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,358.0,35.8,57.0
2016,Zentrale Dienste der Universität,Professuren,0.0,0.0,0.0
2016,Zentrale Dienste der Universität,Titularprofessuren,0.0,0.0,0.0
2016,Zentrale Dienste der Universität,Privatdozierende,0.0,0.0,0.0
2016,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,39.0,71.8,25.6
2016,Gesamt Universität,Professuren,661.0,22.4,55.7
2016,Gesamt Universität,Titularprofessuren,552.0,18.1,17.2
2016,Gesamt Universität,Privatdozierende,751.0,24.6,39.8
2016,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,40.4,40.0,
2015,Theologische Fakultät,Professuren,14.0,21.4,50.0
2015,Theologische Fakultät,Titularprofessuren,9.0,11.1,22.2
2015,Theologische Fakultät,Privatdozierende,12.0,25.0,50.0
2015,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,35.0,28.6,42.9
2015,Rechtswissenschaftliche Fakultät,Professuren,52.0,30.8,32.7
2015,Rechtswissenschaftliche Fakultät,Titularprofessuren,28.0,14.3,3.6
2015,Rechtswissenschaftliche Fakultät,Privatdozierende,27.0,33.3,7.4
2015,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,73.0,23.3,34.2
2015,Wirtschaftswissenschaftliche Fakultät,Professuren,74.0,12.2,75.7
2015,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2015,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,30.0,26.7,40.0
2015,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,172.0,21.5,48.8
2015,Medizinische Fakultät,Professuren,182.0,14.3,50.0
2015,Medizinische Fakultät,Titularprofessuren,316.0,14.9,17.7
2015,Medizinische Fakultät,Privatdozierende,462.0,19.7,37.4
2015,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,35.1,33.0,
2015,Vetsuisse Fakultät,Professuren,39.0,28.2,41.0
2015,Vetsuisse Fakultät,Titularprofessuren,19.0,15.8,47.4
2015,Vetsuisse Fakultät,Privatdozierende,28.0,33.3,51.9
2015,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,64.0,56.3,39.1
2015,Philosophische Fakultät,Professuren,158.0,36.7,60.1
2015,Philosophische Fakultät,Titularprofessuren,86.0,33.7,9.3
2015,Philosophische Fakultät,Privatdozierende,91.0,44.0,33.0
2015,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,790.0,53.2,45.4
2015,Mathematisch-naturwissenschaftliche Fakultät,Professuren,115.0,13.0,60.9
2015,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,41.0,9.8,12.2
2015,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,76.0,17.1,53.9
2015,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,341.0,33.7,53.4
2015,Zentrale Dienste der Universität,Professuren,0.0,0.0,0.0
2015,Zentrale Dienste der Universität,Titularprofessuren,0.0,0.0,0.0
2015,Zentrale Dienste der Universität,Privatdozierende,0.0,0.0,0.0
2015,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,39.0,69.2,30.8
2015,Gesamt Universität,Professuren,634.0,21.8,55.5
2015,Gesamt Universität,Titularprofessuren,516.0,17.4,16.5
2015,Gesamt Universität,Privatdozierende,727.0,23.8,38.3
2015,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,39.8,40.3,
2014,Theologische Fakultät,Professuren,14.0,21.4,50.0
2014,Theologische Fakultät,Titularprofessuren,7.0,14.3,14.3
2014,Theologische Fakultät,Privatdozierende,11.0,27.3,45.5
2014,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,29.0,34.5,51.7
2014,Rechtswissenschaftliche Fakultät,Professuren,52.0,30.8,34.6
2014,Rechtswissenschaftliche Fakultät,Titularprofessuren,27.0,14.8,3.7
2014,Rechtswissenschaftliche Fakultät,Privatdozierende,23.0,34.8,8.7
2014,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,81.0,28.4,22.2
2014,Wirtschaftswissenschaftliche Fakultät,Professuren,75.0,13.3,74.7
2014,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2014,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,28.0,25.0,42.9
2014,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,184.0,23.4,51.1
2014,Medizinische Fakultät,Professuren,168.0,13.1,50.0
2014,Medizinische Fakultät,Titularprofessuren,307.0,14.0,17.3
2014,Medizinische Fakultät,Privatdozierende,429.0,19.1,37.8
2014,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,1180.0,35.8,32.2
2014,Vetsuisse Fakultät,Professuren,34.0,23.5,38.2
2014,Vetsuisse Fakultät,Titularprofessuren,21.0,14.3,47.6
2014,Vetsuisse Fakultät,Privatdozierende,29.0,34.5,41.4
2014,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,59.0,54.2,40.7
2014,Philosophische Fakultät,Professuren,157.0,35.0,58.6
2014,Philosophische Fakultät,Titularprofessuren,83.0,34.9,10.8
2014,Philosophische Fakultät,Privatdozierende,92.0,44.6,27.2
2014,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,819.0,53.8,44.2
2014,Mathematisch-naturwissenschaftliche Fakultät,Professuren,112.0,14.3,60.7
2014,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,39.0,10.3,12.8
2014,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,75.0,16.0,53.3
2014,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,336.0,33.3,58.0
2014,Zentrale Dienste der Universität,Professuren,0.0,0.0,0.0
2014,Zentrale Dienste der Universität,Titularprofessuren,0.0,0.0,0.0
2014,Zentrale Dienste der Universität,Privatdozierende,0.0,0.0,0.0
2014,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,36.0,72.2,33.3
2014,Gesamt Universität,Professuren,612.0,21.2,55.2
2014,Gesamt Universität,Titularprofessuren,501.0,17.2,16.6
2014,Gesamt Universität,Privatdozierende,687.0,23.7,37.6
2014,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,40.7,40.4,
2013,Theologische Fakultät,Professuren,14.0,21.4,50.0
2013,Theologische Fakultät,Titularprofessuren,7.0,14.3,14.3
2013,Theologische Fakultät,Privatdozierende,8.0,25.0,50.0
2013,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,34.0,38.2,38.2
2013,Rechtswissenschaftliche Fakultät,Professuren,48.0,27.1,35.4
2013,Rechtswissenschaftliche Fakultät,Titularprofessuren,26.0,15.4,3.8
2013,Rechtswissenschaftliche Fakultät,Privatdozierende,20.0,25.0,5.0
2013,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,73.0,24.7,26.0
2013,Wirtschaftswissenschaftliche Fakultät,Professuren,71.0,8.5,73.2
2013,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2013,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,27.0,25.9,40.7
2013,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,178.0,20.2,49.4
