Report_Jahr,Semester,Kategorie,Total,Frauen_%,Auslaendische_%
2022,HS 2021,Privatdozierende,32.0,28.1,46.9
2022,HS 2021,Lehrpersonen,174.0,25.4,53.8
2022,HS 2021,Medizinische Fakultät,2735.0,32.3,36.3
2022,HS 2021,Professuren,207.0,20.8,47.8
2022,HS 2021,Titularprofessuren,437.0,17.2,22.7
2022,HS 2021,Privatdozierende,680.0,24.4,40.0
2022,HS 2021,Lehrpersonen,1411.0,42.6,37.1
2021,HS 2021,Theologische Fakultät,83.0,32.5,42.2
2021,HS 2021,Professuren,15.0,20.0,53.3
2021,HS 2021,Titularprofessuren,10.0,10.0,30.0
2021,HS 2021,Privatdozierende,18.0,22.2,55.6
2021,HS 2021,Lehrpersonen,40.0,47.5,35.0
2021,HS 2021,Rechtswissenschaftliche Fakultät,213.0,31.0,18.8
2021,HS 2021,Professuren 1 2,53.0,28.3,37.7
2021,HS 2021,Titularprofessuren,44.0,20.5,4.5
2021,HS 2021,Privatdozierende,31.0,35.5,16.1
2021,HS 2021,Lehrpersonen,85.0,36.5,15.3
2021,HS 2021,Wirtschaftswissenschaftliche Fakultät,317.0,21.1,55.5
2021,HS 2021,Professuren 1 2,91.0,13.2,70.3
2021,HS 2021,Titularprofessuren,20.0,10.0,20.0
2021,HS 2021,Privatdozierende,32.0,28.1,46.9
2021,HS 2021,Lehrpersonen,174.0,25.4,53.8
2021,HS 2021,Medizinische Fakultät,32.3,36.3,
2021,HS 2021,Professuren 1 2,207.0,20.8,47.8
2021,HS 2021,Titularprofessuren,437.0,17.2,22.7
2021,HS 2021,Privatdozierende,680.0,24.4,40.0
2021,HS 2021,Lehrpersonen,42.6,37.1,
2021,HS 2021,Vetsuisse-Fakultät,150.0,47.3,44.7
2021,HS 2021,Professuren,39.0,33.3,41.0
2021,HS 2021,Titularprofessuren,19.0,31.6,36.8
2021,HS 2021,Privatdozierende,34.0,50.0,58.8
2021,HS 2021,Lehrpersonen,58.0,61.4,42.1
2021,HS 2021,Philosophische Fakultät,51.1,43.8,
2021,HS 2021,Professuren,195.0,40.5,53.3
2021,HS 2021,Titularprofessuren,105.0,36.2,11.4
2021,HS 2021,Privatdozierende,124.0,38.7,45.2
2021,HS 2021,Lehrpersonen,808.0,57.5,45.4
2021,HS 2021,Mathematisch-naturwissenschaftliche Fakultät,569.0,32.2,51.1
2021,HS 2021,Professuren 1 2,123.0,26.0,58.5
2021,HS 2021,Titularprofessuren,55.0,12.7,23.6
2021,HS 2021,Privatdozierende,99.0,30.3,51.5
2021,HS 2021,Lehrpersonen,292.0,39.0,53.1
2021,HS 2021,Zentrale Dienste der Universität,61.0,68.9,26.2
2021,HS 2021,Professuren,5.0,60.0,20.0
2021,HS 2021,Titularprofessuren,2.0,50.0,
2021,HS 2021,Privatdozierende,1.0,,
2021,HS 2021,Lehrpersonen,53.0,73.1,26.9
2021,HS 2021,Schwerpunkt Forschung und Lehre,9.0,55.6,77.8
2021,HS 2021,Professuren,8.0,50.0,87.5
2021,HS 2021,Titularprofessuren,,,
2021,HS 2021,Privatdozierende,,,
2021,HS 2021,Lehrpersonen,1.0,100.0,0.0
2021,HS 2021,Total,36.8,40.3,
2021,HS 2021,Professuren 1 2 6,735.0,27.6,53.1
2021,HS 2021,Titularprofessuren,692.0,20.1,20.2
2021,HS 2021,Privatdozierende,28.0,42.1,
2021,HS 2021,Lehrpersonen,46.1,41.2,
2021,HS 2021,Theologische Fakultät,15.0,,53.3
2021,HS 2021,Rechtswissenschaftliche Fakultät,53.0,,37.7
2021,HS 2021,Wirtschaftswissenschaftliche Fakultät,91.0,,70.3
2021,HS 2021,Medizinische Fakultät,207.0,,47.8
2021,HS 2021,Vetsuisse-Fakultät,39.0,,41.0
2021,HS 2021,Philosophische Fakultät,195.0,,53.3
2021,HS 2021,Mathematisch-naturwissenschaftliche Fakultät,123.0,,58.5
2021,HS 2020,Theologische Fakultät,75.0,29.3,41.3
2021,HS 2020,Professuren,15.0,20.0,53.3
2021,HS 2020,Titularprofessuren,11.0,9.1,27.3
2021,HS 2020,Privatdozierende,15.0,20.0,53.3
2021,HS 2020,Lehrpersonen,34.0,44.1,35.3
2021,HS 2020,Rechtswissenschaftliche Fakultät,213.0,28.2,18.8
2021,HS 2020,Professuren 1 2,55.0,27.3,38.2
2021,HS 2020,Titularprofessuren,40.0,17.5,2.5
2021,HS 2020,Privatdozierende,34.0,35.3,17.6
2021,HS 2020,Lehrpersonen,84.0,31.0,14.3
2021,HS 2020,Wirtschaftswissenschaftliche Fakultät,315.0,21.6,57.5
2021,HS 2020,Professuren 1 2,95.0,15.8,72.6
2021,HS 2020,Titularprofessuren,21.0,9.5,23.8
2021,HS 2020,Privatdozierende,31.0,25.8,45.2
2021,HS 2020,Lehrpersonen,168.0,25.6,55.4
2021,HS 2020,Medizinische Fakultät,31.4,35.9,
2021,HS 2020,Professuren 1 2,203.0,16.3,47.3
2021,HS 2020,Titularprofessuren,399.0,15.3,20.3
2021,HS 2020,Privatdozierende,627.0,24.4,39.7
2021,HS 2020,Lehrpersonen,41.6,37.0,
2021,HS 2020,Vetsuisse-Fakultät,148.0,47.3,44.6
2021,HS 2020,Professuren,38.0,28.9,42.1
2021,HS 2020,Titularprofessuren,20.0,30.0,40.0
2021,HS 2020,Privatdozierende,34.0,50.0,61.8
2021,HS 2020,Lehrpersonen,56.0,64.3,37.5
2021,HS 2020,Philosophische Fakultät,1185.0,50.8,44.5
2021,HS 2020,Professuren,186.0,39.2,53.8
2021,HS 2020,Titularprofessuren,107.0,35.5,14.0
2021,HS 2020,Privatdozierende,114.0,38.6,43.9
2021,HS 2020,Lehrpersonen,778.0,57.5,46.5
2021,HS 2020,Mathematisch-naturwissenschaftliche Fakultät,542.0,29.3,52.0
2021,HS 2020,Professuren 1 2,116.0,21.6,62.1
2021,HS 2020,Titularprofessuren,52.0,13.5,21.2
2021,HS 2020,Privatdozierende,95.0,31.6,51.6
2021,HS 2020,Lehrpersonen,279.0,34.8,53.8
2021,HS 2020,Zentrale Dienste der Universität,53.0,71.7,26.4
2021,HS 2020,Professuren,,,
2021,HS 2020,Titularprofessuren,2.0,50.0,
2021,HS 2020,Privatdozierende,1.0,,
2021,HS 2020,Lehrpersonen,50.0,74.0,28.0
2021,HS 2020,Schwerpunkt Forschung und Lehre,14.0,35.7,92.9
2021,HS 2020,Professuren,10.0,50.0,90.0
2021,HS 2020,Titularprofessuren,,,
2021,HS 2020,Privatdozierende,,,
2021,HS 2020,Lehrpersonen,4.0,,100.0
2021,HS 2020,Total,35.8,40.6,
2021,HS 2020,Professuren 1 2 6,718.0,25.1,54.5
2021,HS 2020,Titularprofessuren,651.0,18.9,19.0
2021,HS 2020,Privatdozierende,951.0,28.1,41.7
2021,HS 2020,Lehrpersonen,45.0,41.6,
2020,HS 2020,Theologische Fakultät,75.0,29.3,41.3
2020,HS 2020,Professuren,15.0,20.0,53.3
2020,HS 2020,Titularprofessuren,11.0,9.1,27.3
2020,HS 2020,Privatdozierende,15.0,20.0,53.3
2020,HS 2020,Lehrbeauftragte,34.0,44.1,35.3
2020,HS 2020,Rechtswissenschaftliche Fakultät,213.0,28.2,18.8
2020,HS 2020,Professuren 1 2,55.0,27.3,38.2
2020,HS 2020,Titularprofessuren,40.0,17.5,2.5
2020,HS 2020,Privatdozierende,34.0,35.3,17.6
2020,HS 2020,Lehrbeauftragte,84.0,31.0,14.3
2020,HS 2020,Wirtschaftswissenschaftliche Fakultät,315.0,21.6,57.5
2020,HS 2020,Professuren 1 2,95.0,15.8,72.6
2020,HS 2020,Titularprofessuren,21.0,9.5,23.8
2020,HS 2020,Privatdozierende,31.0,25.8,45.2
2020,HS 2020,Lehrbeauftragte,168.0,25.6,55.4
2020,HS 2020,Medizinische Fakultät,31.4,35.9,
2020,HS 2020,Professuren 1 2,203.0,16.3,47.3
2020,HS 2020,Titularprofessuren,399.0,15.3,20.3
2020,HS 2020,Privatdozierende,627.0,24.4,39.7
2020,HS 2020,Lehrbeauftragte,41.6,37.0,
2020,HS 2020,Vetsuisse-Fakultät,148.0,47.3,44.6
2020,HS 2020,Professuren,38.0,28.9,42.1
2020,HS 2020,Titularprofessuren,20.0,30.0,40.0
2020,HS 2020,Privatdozierende,34.0,50.0,61.8
2020,HS 2020,Lehrbeauftragte,56.0,64.3,37.5
2020,HS 2020,Philosophische Fakultät,50.8,44.5,
2020,HS 2020,Professuren,186.0,39.2,53.8
