Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
1982,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
1982,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,7 Interdisziplinäre und Andere,Professor/-innen,UZH,0
1982,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,0
1982,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,0
1982,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,1
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
1982,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
1982,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
