Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Naturwissenschaften und Mathematik,Physik,Techn. & adm. Mitarbeitende,20.6,22.1,21.4,22.2,23.5,22.9,27.7,29.6,31,34.6,35.9,34.4,28.4,31.1,35.1,41.2,31.9,35.9,38.8,42.1
Naturwissenschaften und Mathematik,Physik,Lernende,4,2,4,4,3,3,3,4,4,4,3,2,3,3,3,3,5,5,6,8
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Gesamtwert,347.6,321.1,346.6,340.8,362.1,387.4,390.6,417.8,408.2,494.9,480.4,495,520.2,522.6,507.5,520.1,515.8,491.4,505.8,501.1
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Vollprofessor/innen,21,21,21,21,25,26,24,22,19.8,18.8,18.8,20,20,19,19,19,20,22,21,20
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Assistenzprofessor/innen,2,2,4,4,4,6,4,3,2,4,6,5,6,5,5,6,5,4,4,3
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Wissenschaftliche Mitarbeiten..,300.7,276,301,293,311.4,332.7,339.6,368.7,361.7,443.5,434.5,445,470.9,470.8,458.8,467.1,460.5,435.5,448.3,449.1
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Techn. & adm. Mitarbeitende,19.9,18.1,16.6,20.8,19.7,21.7,22,22.1,21.7,24.6,18.1,22,20.3,24.9,23.7,27,28.3,25.9,29.5,27
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Lernende,4,4,4,2,2,1,1,2,3,4,3,3,3,3,1,1,2,4,3,2
Naturwissenschaften und Mathematik,Biologie,Gesamtwert,305.2,314.6,326.6,344.5,355.4,386.3,361.9,370.6,396.6,446.5,421.6,406.4,410.3,398.5,395.2,413.7,418.9,422.9,410.4,402.4
Naturwissenschaften und Mathematik,Biologie,Vollprofessor/innen,18,19,16,18,20.4,18.4,18.4,20.4,19,19,18,18,18,19,20,20,20,20,20,20
Naturwissenschaften und Mathematik,Biologie,Assistenzprofessor/innen,5,5,5,5,3.2,4,3,5,10,11,11,11,11,10,8,7,7,6.8,4.8,6.8
Naturwissenschaften und Mathematik,Biologie,Wissenschaftliche Mitarbeiten..,245.7,259.1,267,279,281.6,306,283.2,290.6,316.1,369.3,345.3,326.9,337.2,330.2,328.4,343.9,344.9,344.1,341.6,334.8
Naturwissenschaften und Mathematik,Biologie,Techn. & adm. Mitarbeitende,33.6,31.5,37.5,41.5,49.1,54,53.3,51.6,51.5,45.2,44.3,47.6,43.1,39.3,37.8,41.9,46.1,52,43,39.8
Naturwissenschaften und Mathematik,Biologie,Lernende,3,0,1,1,1,4,4,3,0,2,3,3,1,0,1,1,1,0,1,1
Systemorientierte Naturwissenschaften,Gesamtwert,,395.4,419.7,486.3,538.3,546.8,551.2,569.4,637.7,679.2,857.8,860,867.2,928.8,960.3,1010.2,1063.7,1053.8,1065,1029.2,967.1
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Gesamtwert,115.7,127.5,141.7,149.4,157.1,148.8,146.1,157.6,182.7,225.3,230.7,228,234,231.5,230.5,237.2,228.4,235.6,234.7,211.2
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Vollprofessor/innen,10,10,10,10,10,10,11,11,11,11.1,10.9,11.9,13.1,13.1,12.1,11.1,11.1,10.1,10.1,9.1
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistenzprofessor/innen,,1,1,1,2,2,1,3,2,2,2,2,1,2,2,3,4,6,6,7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Wissenschaftliche Mitarbeiten..,100.6,107.6,121.1,127.4,133.8,125.8,120.8,131.6,153.6,191.5,199,198,202.7,200.5,204.1,206.3,192.2,194.7,191,168.6
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Techn. & adm. Mitarbeitende,5.1,8,8.6,10.1,10.3,11,12.3,12,16.2,20.7,18.8,16.1,17.2,15.9,12.4,16.8,19.1,24.8,27.6,26.5
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Lernende,,1,1,1,1,0,1,0,0,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Gesamtwert,189.8,203.8,231.6,248.2,239.4,239.5,241.3,286.3,311.2,383.5,377.3,357.6,381.6,395.8,427.7,458.8,458.8,464.7,428.6,405.9
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Vollprofessor/innen,18,17,18,18,19,20,20,24,22.1,22,21,19,18,17,18,17,17,15,17,16
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistenzprofessor/innen,1,1,2,0.2,0.2,3,3,2.2,3.2,3,3,6,6,9,12,15,13.2,12,13,10
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Wissenschaftliche Mitarbeiten..,161.1,174.1,198.2,214.9,205.1,197.9,201.7,239.8,255.6,327.8,323.5,302.8,318.1,321.3,345.5,378.7,375.2,383.3,346,339.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Techn. & adm. Mitarbeitende,9.8,11.7,13.4,15.1,14.2,18.7,16.6,20.3,30.3,30.8,29.9,29.8,39.6,48.5,52.3,48.1,51.4,54.4,52.6,40.4
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Lernende,,,,,1,0,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Gesamtwert,86.2,86.3,110,137.6,145.9,158,182,193.8,185.3,248.9,252,281.7,313.1,333.1,351.9,367.4,370.7,364.7,365.9,350
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Vollprofessor/innen,7,7,7,9,10,11,12,13,13,14,15,17,15.7,14.8,15.8,15.8,15.8,14.8,17.1,18.1
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistenzprofessor/innen,0,,1,2,1,1,1,1,1,1,2,4,7,7,8,8,8,7,5,5
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Wissenschaftliche Mitarbeiten..,69.4,69.8,91.4,114.2,118.7,128.3,146.8,154.6,147.5,206.1,206.7,233.5,261.5,277.4,294.1,306.4,311.6,302,302.5,293.4
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Techn. & adm. Mitarbeitende,9.8,9.5,10.6,12.4,15.2,14.7,20.2,24.3,23.8,27.8,28.4,27.2,29,33.9,34,37.3,38.3,41,41.3,33.6
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Lernende,,,,,1,3,2,1,0,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Gesamtwert,3.7,2,3,3,4.4,4.9,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistenzprofessor/innen,0,,,,,,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Wissenschaftliche Mitarbeiten..,1.7,0.2,0.2,0.2,0.2,0.5,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Techn. & adm. Mitarbeitende,2.1,1.8,1.8,1.8,3.2,3.4,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Lernende,,,,1,1,1,,,,,,,,,,,,,,
Management- und Sozialwissenschaften,Gesamtwert,,164.8,191.1,231.9,262.2,278.3,297.2,312.4,325.8,340.7,352.8,370.5,400.1,395.5,388.2,389.9,390.7,401.7,405.7,401,401
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Gesamtwert,97.7,110.9,132.8,145.3,158.1,171.3,182.4,199.6,207.9,211.5,219.9,224,231.4,216.9,223.6,204.5,211.9,211.2,190.7,183.3
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Vollprofessor/innen,6.4,6.5,8.5,9,10,12,11,13,12,12,14,14,14,12,12,12,11,12,11,10
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistenzprofessor/innen,1,1,2,2,1,2,3,3,3,3,3,4,3,3,2,1,2,1,1,2
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Wissenschaftliche Mitarbeiten..,86.2,99.9,114.3,125.1,136.7,147.8,159.1,171.6,182,187.1,189.8,193.3,203,187.8,192.8,174.8,180.8,178.8,157.7,155.7
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Techn. & adm. Mitarbeitende,4.1,3.6,8.1,9.2,10.4,9.5,9.3,11.9,10.9,10.4,13.1,12.7,11.4,14.1,16.8,16.7,18.1,19.4,20,15.7
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Lernende,,,,,,,,,0,,,,,,,,,,,
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Gesamtwert,67.1,80.2,99,116.9,120.2,125.8,130,126.2,132.9,141.3,150.6,176.1,164.1,171.3,166.3,186.2,189.8,194.5,210.3,217.7
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Vollprofessor/innen,10,10,13,13,13,13,14,15,15,14,14,16,16,16,16,17,18,20,20,18
