Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Techn. & adm. Mitarbeitende,139.9,137.5,134.4,137.6,139.4,140.2,139.2,139.4,137.1,137.1,137.1,139.7,134.5,141.9,141.7,139,142.5,138.8,136.8,134.9
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Lernende,28,31,26,24,24,21,25,22,21,20,19,19,18,14,13,16,12,14,14,15
Naturwissenschaften und Mathematik,Biologie,Gesamtwert,524.8,531.5,530.7,542.4,546.5,565.1,546.8,544.1,566,643.8,622.7,602.3,608.9,605.7,598.1,597.5,601.6,623.3,605.9,600.7
Naturwissenschaften und Mathematik,Biologie,Vollprofessor/innen,22.8,25.8,24.6,25,27.4,26.4,26.4,28.4,27,27,27,27.5,27.5,29.5,28.9,29.5,29,29,30,27
Naturwissenschaften und Mathematik,Biologie,Assistenzprofessor/innen,12,11,8,8,7,6.8,4.8,7.8,12.8,13,13,13,13,11,9,9,10,9,7.8,10.8
Naturwissenschaften und Mathematik,Biologie,Wissenschaftliche Mitarbeiten..,355.6,364.2,365.5,371.3,368.4,384.8,364.8,363.4,386.6,462.3,445.1,424.1,437.2,433.2,428.7,426.2,426.8,439.5,429.1,429.7
Naturwissenschaften und Mathematik,Biologie,Techn. & adm. Mitarbeitende,122.4,121.5,120.5,121.1,125.7,124.1,125.8,121.5,115.7,118.5,115.7,117.7,116.2,112.1,111.4,117.9,119.8,129,122,117.2
Naturwissenschaften und Mathematik,Biologie,Lernende,12,9,12,17,18,23,25,23,24,23,22,20,15,20,19,15,16,16,17,16
Systemorientierte Naturwissenschaften,Gesamtwert,,908.6,948.7,1022.3,1083.5,1073.3,1067.2,1093.8,1147.8,1200.4,1435.5,1421.4,1454,1535.4,1572.3,1623.4,1698.8,1689.9,1702.3,1646.1,1558.5
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Gesamtwert,211.3,219.3,241,242.5,251.4,239.9,244,261.3,291.5,343.6,347.4,338.9,341.1,345.2,344.1,355.7,344.1,357.5,347.6,312.5
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Vollprofessor/innen,13,13,13,12,12,12,15,16,16,16.1,15.9,16.9,18.1,17.1,16.1,16.1,15.1,15.7,15.7,14.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistenzprofessor/innen,2,2,1,1,2,2,2,4,3,2,3,3,2,3,3,3,4,6,6,7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Wissenschaftliche Mitarbeiten..,158.1,160.8,182.3,185.6,193.7,183,179.5,191.3,213.2,266.7,271.5,264.8,265.2,268.6,271.7,278.8,264.7,263.4,249.3,218.6
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Techn. & adm. Mitarbeitende,35.2,39.5,40.7,40.9,40.8,41,46.4,48,56.3,57.8,56,53.2,55.8,56.4,53.3,57.7,60.3,72.4,76.6,72.3
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Lernende,3,4,4,3,3,2,1,2,3,1,1,1,0,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Gesamtwert,480.8,500.6,534.6,547.6,518.5,493.9,499.4,526.4,552.8,650,628.4,623.2,656.1,676.1,702.3,733.7,735.8,757.7,709.5,673.3
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Vollprofessor/innen,32,30,31.6,31.3,31.3,31.3,32.6,36,34.1,33,33.8,32,33,32,32,32,33,32,33,33
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistenzprofessor/innen,2.8,5.8,4.8,4,3.2,6,7,4.2,5.2,5,4,10,9,13,18,19.2,15.4,14.2,15.2,11.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Wissenschaftliche Mitarbeiten..,359.4,374,401.6,409.3,385.6,353.9,356.9,384.3,398,493.6,483,463.9,485.4,495,508.6,540,542.6,554,505.9,485.4
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Techn. & adm. Mitarbeitende,83.7,85.3,91.6,97.1,93.3,100.7,100.9,99.9,114.5,118.4,107.7,117.3,124.7,135.1,143.6,142.6,144.8,157.5,155.4,143.8
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Lernende,3,5.5,5,6,4,2,2,2,1,0,,,4,1,0,,,,,
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Gesamtwert,201.1,216.1,233.7,276.4,287.7,315.8,350.4,360.1,356.1,441.8,445.7,491.9,538.1,551,577.1,609.4,610.1,587.1,589,572.7
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Vollprofessor/innen,11.3,11.3,10,12,13,14,15.5,16,17,18,19,23,21.7,21.8,22.8,22.8,24.2,21.4,24.9,26.1
