Jahr,Fachbereich,Staatsangehörigkeit (Kategorie),Hochschule,Anzahl
1983,4.1 Exakte Wissenschaften,Schweiz,UZH,112
1983,4.1 Exakte Wissenschaften,Ausland,UZH,38
1983,4.2 Naturwissenschaften,Schweiz,UZH,551
1983,4.2 Naturwissenschaften,Ausland,UZH,94
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,1
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0
1983,5.1 Humanmedizin,Schweiz,UZH,789
1983,5.1 Humanmedizin,Ausland,UZH,171
1983,5.2 Zahnmedizin,Schweiz,UZH,252
1983,5.2 Zahnmedizin,Ausland,UZH,50
1983,5.3 Veterinärmedizin,Schweiz,UZH,321
1983,5.3 Veterinärmedizin,Ausland,UZH,39
1983,5.4 Pharmazie,Schweiz,UZH,6
1983,5.4 Pharmazie,Ausland,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,4
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1
1983,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1983,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1983,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1983,7 Interdisziplinäre und Andere,Ausland,UZH,0
1983,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,211
1983,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,17
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1983,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1983,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1983,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1983,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1983,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1983,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1983,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1983,8.1 Zentrale Verwaltung,Ausland,UZH,0
1983,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1983,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1983,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1983,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1983,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1984,1.1 Theologie,Schweiz,UZH,53
1984,1.1 Theologie,Ausland,UZH,27
1984,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,244
1984,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,62
1984,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,195
1984,1.3 Historische und Kulturwissenschaften,Ausland,UZH,32
1984,1.4 Sozialwissenschaften,Schweiz,UZH,252
1984,1.4 Sozialwissenschaften,Ausland,UZH,42
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,361
1984,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,49
1984,2 Wirtschaftswissenschaften,Schweiz,UZH,218
1984,2 Wirtschaftswissenschaften,Ausland,UZH,44
1984,3 Recht,Schweiz,UZH,189
1984,3 Recht,Ausland,UZH,17
1984,4.1 Exakte Wissenschaften,Schweiz,UZH,119
1984,4.1 Exakte Wissenschaften,Ausland,UZH,40
1984,4.2 Naturwissenschaften,Schweiz,UZH,566
1984,4.2 Naturwissenschaften,Ausland,UZH,96
1984,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,126
1984,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,8
1984,5.1 Humanmedizin,Schweiz,UZH,1190
1984,5.1 Humanmedizin,Ausland,UZH,286
1984,5.2 Zahnmedizin,Schweiz,UZH,278
1984,5.2 Zahnmedizin,Ausland,UZH,72
1984,5.3 Veterinärmedizin,Schweiz,UZH,372
1984,5.3 Veterinärmedizin,Ausland,UZH,54
1984,5.4 Pharmazie,Schweiz,UZH,6
1984,5.4 Pharmazie,Ausland,UZH,0
1984,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,4
1984,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1
1984,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1984,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1984,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1984,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1984,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1984,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1984,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1984,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1984,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1984,7 Interdisziplinäre und Andere,Ausland,UZH,0
1984,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,281
1984,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,187
1984,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1984,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1984,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1984,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1984,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1984,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1984,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1984,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1984,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1984,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1984,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1984,8.1 Zentrale Verwaltung,Ausland,UZH,0
1984,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1984,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1984,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1984,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1984,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1984,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1985,1.1 Theologie,Schweiz,UZH,55
1985,1.1 Theologie,Ausland,UZH,27
1985,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,256
1985,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,66
1985,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,196
1985,1.3 Historische und Kulturwissenschaften,Ausland,UZH,29
1985,1.4 Sozialwissenschaften,Schweiz,UZH,265
1985,1.4 Sozialwissenschaften,Ausland,UZH,52
1985,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,378
1985,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,48
1985,2 Wirtschaftswissenschaften,Schweiz,UZH,237
1985,2 Wirtschaftswissenschaften,Ausland,UZH,47
1985,3 Recht,Schweiz,UZH,202
1985,3 Recht,Ausland,UZH,18
1985,4.1 Exakte Wissenschaften,Schweiz,UZH,112
1985,4.1 Exakte Wissenschaften,Ausland,UZH,41
1985,4.2 Naturwissenschaften,Schweiz,UZH,581
1985,4.2 Naturwissenschaften,Ausland,UZH,99
1985,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,128
1985,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,22
1985,5.1 Humanmedizin,Schweiz,UZH,1166
1985,5.1 Humanmedizin,Ausland,UZH,306
1985,5.2 Zahnmedizin,Schweiz,UZH,273
1985,5.2 Zahnmedizin,Ausland,UZH,76
1985,5.3 Veterinärmedizin,Schweiz,UZH,371
1985,5.3 Veterinärmedizin,Ausland,UZH,54
1985,5.4 Pharmazie,Schweiz,UZH,6
1985,5.4 Pharmazie,Ausland,UZH,0
1985,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,4
1985,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1
1985,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1985,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1985,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1985,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
1985,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1985,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1985,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1985,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1985,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1985,7 Interdisziplinäre und Andere,Ausland,UZH,0
1985,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,270
1985,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,183
1985,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1985,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1985,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1985,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
1985,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Schweiz,UZH,0
1985,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0
1985,99.99 Fach nicht zuteilbar,Schweiz,UZH,0
1985,99.99 Fach nicht zuteilbar,Ausland,UZH,0
1985,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Schweiz,UZH,0
1985,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0
1985,8.1 Zentrale Verwaltung,Schweiz,UZH,0
1985,8.1 Zentrale Verwaltung,Ausland,UZH,0
1985,8.2 Zentrale Bibliotheken,Schweiz,UZH,0
1985,8.2 Zentrale Bibliotheken,Ausland,UZH,0
1985,8.3 Technische Dienste und Logistik,Schweiz,UZH,0
1985,8.3 Technische Dienste und Logistik,Ausland,UZH,0
1985,8.4 Dienstleistungen für Mitarbeitende und Studierende,Schweiz,UZH,0
1985,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0
1986,1.1 Theologie,Schweiz,UZH,50
1986,1.1 Theologie,Ausland,UZH,24
1986,1.2 Sprach- und Literaturwissenschaften,Schweiz,UZH,247
1986,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,71
1986,1.3 Historische und Kulturwissenschaften,Schweiz,UZH,195
1986,1.3 Historische und Kulturwissenschaften,Ausland,UZH,28
1986,1.4 Sozialwissenschaften,Schweiz,UZH,282
1986,1.4 Sozialwissenschaften,Ausland,UZH,53
1986,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Schweiz,UZH,363
1986,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,62
1986,2 Wirtschaftswissenschaften,Schweiz,UZH,258
1986,2 Wirtschaftswissenschaften,Ausland,UZH,48
1986,3 Recht,Schweiz,UZH,185
1986,3 Recht,Ausland,UZH,18
1986,4.1 Exakte Wissenschaften,Schweiz,UZH,114
1986,4.1 Exakte Wissenschaften,Ausland,UZH,44
1986,4.2 Naturwissenschaften,Schweiz,UZH,589
1986,4.2 Naturwissenschaften,Ausland,UZH,105
1986,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Schweiz,UZH,123
1986,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,23
1986,5.1 Humanmedizin,Schweiz,UZH,1180
1986,5.1 Humanmedizin,Ausland,UZH,298
1986,5.2 Zahnmedizin,Schweiz,UZH,273
1986,5.2 Zahnmedizin,Ausland,UZH,79
1986,5.3 Veterinärmedizin,Schweiz,UZH,362
1986,5.3 Veterinärmedizin,Ausland,UZH,58
1986,5.4 Pharmazie,Schweiz,UZH,6
1986,5.4 Pharmazie,Ausland,UZH,0
1986,5.5 Medizin und Pharmazie übergreifend/übrige,Schweiz,UZH,5
1986,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,0
1986,6.1 Bauwesen und Geodäsie,Schweiz,UZH,0
1986,6.1 Bauwesen und Geodäsie,Ausland,UZH,0
1986,6.2 Maschinen- und Elektroingenieurwissenschaften,Schweiz,UZH,0
1986,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0
